Wavelength,Average,Red,Green,Blue
506.1,63.7,0,114.8,79.05
508.5,58.6,0,112.2,63.75
510.9,53.5,0,107.1,56.1
513.3,51,0,107.1,48.45
515.7,48.4,0,102,43.35
518.1,43.3,0,104.5,28.05
520.5,40.8,0,99.45,25.5
522.9,35.7,0,99.45,7.65
525.3,35.7,0,96.9,7.65
527.7,30.6,0,96.9,0
530.1,30.6,0,96.9,0
532.5,28.0,0,89.25,0
534.9,28.0,0,91.8,0
537.3,30.6,0,94.35,0
539.7,30.6,0,94.35,0
542.1,30.6,0,96.9,0
544.6,30.6,0,94.35,0
547,30.6,0,91.8,0
549.4,30.6,0,91.8,0
551.8,28.0,0,86.7,0
554.2,28.0,0,86.7,0
556.6,25.5,0,81.6,0
559,25.5,0,81.6,0
561.4,25.5,0,84.15,0
563.8,28.0,0,91.8,0
566.2,38.2,15.3,99.45,0
568.6,40.8,17.85,102,0
571,48.4,33.15,96.9,12.75
573.4,40.8,28.05,91.8,7.65
575.8,51,53.55,91.8,5.1
578.2,58.6,61.2,99.45,12.75
580.6,53.5,86.7,73.95,0
583,53.5,86.7,73.95,0
585.4,63.7,117.3,68.85,2.55
587.9,63.7,117.3,68.85,2.55
590.3,61.2,132.6,56.1,0
592.7,66.3,137.7,63.75,2.55
595.1,61.2,135.2,51,0
597.5,61.2,132.6,51,0
599.9,58.6,137.7,35.7,7.65
602.3,58.6,135.2,35.7,5.1
604.7,63.7,150.4,30.6,10.2
607.1,61.2,147.9,28.05,7.65
609.5,53.5,140.3,7.65,12.75
611.9,61.2,147.9,15.3,20.4
614.3,56.1,130.1,20.4,17.85
616.7,45.9,119.8,12.75,7.65
619.1,38.2,104.5,10.2,2.55
621.5,40.8,107.1,12.75,7.65
623.9,38.2,99.45,12.75,7.65
626.3,38.2,99.45,12.75,7.65
628.7,35.7,91.8,5.1,12.75
631.1,35.7,89.25,2.55,12.75
633.6,35.7,86.7,2.55,17.85
636,33.1,86.7,0,15.3
638.4,28.0,71.4,2.55,15.3
640.8,28.0,71.4,2.55,15.3
643.2,20.4,51,2.55,7.65
645.6,20.4,51,2.55,7.65
648,20.4,43.35,2.55,15.3
650.4,22.9,45.9,2.55,17.85
652.8,17.8,35.7,0,15.3
655.2,12.7,30.6,0,10.2
657.6,10.2,22.95,0,7.65
660,7.65,20.4,0,7.65
662.4,7.65,17.85,0,7.65
664.8,5.1,15.3,0,5.1
667.2,2.55,7.65,0,2.55
669.6,2.55,7.65,0,2.55
672,2.55,5.1,0,0
674.4,2.55,5.1,0,0
676.9,2.55,5.1,0,2.55
679.3,2.55,5.1,0,2.55
681.7,0,2.55,0,2.55
684.1,0,2.55,0,2.55
686.5,0,2.55,0,0
688.9,0,2.55,0,0
691.3,0,0,0,0
693.7,0,0,0,0
696.1,0,0,0,0
698.5,0,0,0,0
700.9,0,2.55,0,0
703.3,0,2.55,0,0
705.7,0,0,0,2.55
708.1,0,0,0,2.55
710.5,0,0,0,5.1
712.9,0,0,0,5.1
715.3,0,0,0,5.1
717.7,0,0,0,5.1
720.1,0,0,0,2.55
722.6,0,0,0,2.55
725,0,0,0,0
727.4,0,0,0,0
729.8,0,0,0,0
732.2,0,0,0,0
734.6,0,0,0,2.55
737,0,0,0,2.55
739.4,0,0,0,2.55
741.8,0,0,0,2.55
744.2,0,0,0,0
746.6,0,0,0,0
749,0,0,0,0
751.4,0,0,0,0
753.8,0,0,0,0
756.2,0,0,0,0
758.6,0,0,0,0
761,0,2.55,0,0
763.4,0,0,0,0
765.9,0,0,0,0
768.3,0,0,0,0
770.7,0,0,0,0
773.1,0,0,0,0
775.5,0,0,0,0
777.9,0,0,0,0
780.3,0,0,0,0
782.7,0,0,0,0
785.1,0,0,0,0
787.5,0,0,0,0
789.9,0,0,0,0
792.3,0,0,0,0
794.7,0,0,0,0
797.1,0,0,0,0
799.5,0,0,0,0
801.9,0,0,0,0
804.3,0,0,0,0
806.7,0,0,0,0
809.1,0,0,0,0
811.6,0,2.55,0,0
814,0,0,0,0
816.4,0,0,0,0
818.8,0,0,0,0
821.2,0,0,0,0
823.6,0,0,0,0
826,0,0,0,0
828.4,0,0,2.55,0
830.8,0,0,0,0
833.2,0,0,0,0
835.6,0,0,0,2.55
838,0,0,0,0
840.4,0,0,0,0
842.8,0,0,0,0
845.2,0,0,0,0
847.6,0,0,0,0
850,0,0,0,0
852.4,0,0,0,0
854.9,0,0,0,0
857.3,0,0,0,0
859.7,0,0,0,0
862.1,0,0,0,0
864.5,0,0,0,0
866.9,0,0,0,0
869.3,0,0,0,0
871.7,0,0,0,0
874.1,0,0,0,0
876.5,0,0,0,0
878.9,0,0,0,0
881.3,0,0,0,0
883.7,0,0,2.55,0
886.1,0,0,2.55,0
888.5,0,0,0,0
890.9,0,0,0,0
893.3,0,0,0,0
895.7,0,0,0,0
