Wavelength,Average,Red,Green,Blue
682.439,102,125,69,114
683.523,98,119,72,103
684.607,97,118,71,102
685.691,92,111,69,96
686.775,91,110,68,95
687.859,88,106,67,93
688.943,88,106,67,93
690.027,89,102,68,97
691.111,91,104,71,99
692.195,93,102,70,107
693.279,95,105,72,109
694.363,100,104,74,122
695.447,100,104,74,122
696.531,100,99,76,126
697.615,100,99,76,126
698.699,96,95,75,120
699.783,95,94,74,118
700.867,89,89,73,107
701.951,89,89,73,107
703.035,85,86,75,96
704.119,84,85,73,94
705.203,83,85,74,90
706.287,84,86,75,91
707.371,82,86,77,83
708.455,82,86,77,83
709.538,80,85,76,80
710.622,80,85,76,80
711.706,77,85,71,75
712.790,75,83,70,74
713.874,69,77,70,62
714.958,69,77,70,62
716.042,69,77,70,60
717.126,67,75,69,59
718.210,66,74,68,58
719.294,64,72,66,55
720.378,64,69,67,57
721.462,66,71,69,60
722.546,67,72,70,61
723.630,67,72,70,61
724.714,67,72,70,61
725.798,67,72,70,61
726.882,67,72,70,61
727.966,67,72,70,61
729.050,66,71,69,60
730.134,64,69,67,57
731.218,65,67,67,61
732.302,65,67,67,61
733.386,65,62,68,67
734.470,65,62,68,67
735.554,72,60,73,83
736.638,73,61,74,84
737.722,81,61,84,100
738.806,92,71,95,111
739.890,95,68,101,116
740.974,100,73,106,121
742.057,99,72,108,117
743.141,92,65,101,110
744.225,78,57,91,87
745.309,74,53,86,83
746.393,68,53,81,70
747.477,65,50,78,68
748.561,61,50,77,57
749.645,60,48,76,56
750.729,59,50,75,54
751.813,59,50,75,54
752.897,59,50,76,52
753.981,60,51,77,53
755.065,59,51,77,49
756.149,63,55,81,53
757.233,63,56,83,52
758.317,66,59,86,55
759.401,67,59,88,55
760.485,68,60,90,56
761.569,67,57,92,54
762.653,66,56,90,53
763.737,66,53,92,53
764.821,66,53,92,53
765.905,64,50,92,51
766.989,60,46,88,48
768.073,58,45,88,43
769.157,57,44,87,42
770.241,58,44,86,46
771.325,58,44,86,46
772.409,59,46,85,46
773.493,60,47,86,47
774.577,60,47,86,49
775.660,60,47,86,49
776.744,60,47,83,50
777.828,57,45,81,47
778.912,57,44,80,48
779.996,57,44,80,48
781.080,56,41,78,51
782.164,56,41,78,51
783.248,57,41,80,52
784.332,59,42,82,53
785.416,61,39,89,55
786.500,62,40,90,56
787.584,59,29,96,52
788.668,62,32,100,55
789.752,67,28,120,54
790.836,78,39,131,64
791.920,84,36,159,59
793.004,98,50,173,73
794.088,104,48,195,71
795.172,104,48,195,71
796.256,99,41,192,64
797.340,94,37,187,59
798.424,82,26,164,56
799.508,71,15,153,46
800.592,77,23,138,72
801.676,77,23,138,72
802.760,95,38,132,116
803.844,96,39,133,118
804.928,155,101,177,189
806.012,202,149,223,236
807.096,238,205,254,257
808.179,241,209,257,257
809.263,245,221,257,257
810.347,245,221,257,257
811.431,241,210,257,257
812.515,188,156,201,208
813.599,156,119,170,179
814.683,110,74,123,134
815.767,107,71,121,129
816.851,92,57,107,114
817.935,86,53,104,102
819.019,81,48,100,97
820.103,76,44,100,85
821.187,75,43,99,83
822.271,75,44,101,81
823.355,75,44,101,81
824.439,72,43,100,75
825.523,71,42,99,74
826.607,68,39,98,68
827.691,67,38,97,67
828.775,64,36,94,64
829.859,61,32,91,61
830.943,60,31,92,57
832.027,60,31,92,57
833.111,58,27,98,50
834.195,58,27,98,50
835.279,53,18,105,38
836.363,57,22,109,42
837.447,57,15,125,32
838.531,71,29,140,46
839.615,78,29,162,43
840.698,91,42,175,56
841.782,91,42,182,49
842.866,78,30,169,36
843.950,79,35,164,39
845.034,60,16,146,20
846.118,53,18,122,20
847.202,53,18,122,20
848.286,55,24,111,30
849.370,56,25,112,31
850.454,58,27,111,36
851.538,65,34,118,43
852.622,66,35,119,44
853.706,70,39,123,48
854.790,73,43,125,51
855.874,74,45,126,52
856.958,75,48,121,57
858.042,75,48,121,57
859.126,78,59,117,60
860.210,78,59,117,60
861.294,80,69,117,56
862.378,78,67,114,54
863.462,85,83,123,51
864.546,87,85,125,53
865.630,86,96,121,43
866.714,86,96,121,43
867.798,85,107,118,31
868.882,90,112,123,36
869.966,99,137,126,35
871.050,108,145,136,43
872.134,137,189,164,58
873.217,156,209,183,78
874.301,161,226,184,73
875.385,161,226,184,73
876.469,158,235,177,64
877.553,154,230,172,60
878.637,142,221,155,50
879.721,135,214,148,43
880.805,133,212,138,49
881.889,121,200,125,38
882.973,116,189,113,46
884.057,109,182,106,39
885.141,105,168,95,52
886.225,100,163,91,48
887.309,105,154,81,81
888.393,104,153,80,80
889.477,112,146,69,121
890.561,112,146,69,121
891.645,120,140,66,154
892.729,123,143,70,158
893.813,121,137,64,163
894.897,118,133,61,160
895.981,112,127,59,150
897.065,107,123,54,146
898.149,98,117,55,123
899.233,94,113,51,118
900.317,82,105,49,94
901.401,82,105,49,94
902.485,76,100,51,78
903.569,71,95,46,73
904.653,67,94,48,60
905.737,63,91,44,56
906.820,61,91,41,52
907.904,59,89,38,50
908.988,57,90,37,45
910.072,57,90,37,45
911.156,58,92,37,46
912.240,61,95,40,48
913.324,59,94,37,46
914.408,59,94,37,46
915.492,58,91,35,49
916.576,55,88,32,45
917.660,54,83,31,50
918.744,51,80,28,46
919.828,54,77,31,55
920.912,52,75,29,53
921.996,51,72,28,55
923.080,50,71,27,54
924.164,50,68,28,56
925.248,50,68,28,56
926.332,50,68,28,56
927.416,50,68,28,56
928.500,50,66,29,56
929.584,50,66,29,56
930.668,50,66,29,56
931.752,50,66,29,56
932.836,49,65,28,55
933.920,49,65,28,55
935.004,47,63,25,55
936.088,46,62,24,54
937.172,47,60,27,55
938.256,45,58,25,54
939.339,45,58,25,54
940.423,44,57,24,52
941.507,44,56,25,52
942.591,44,56,25,52
943.675,44,56,25,52
944.759,44,56,25,52
945.843,42,53,25,49
946.927,41,52,24,48
948.011,42,53,25,49
949.095,42,53,25,49
950.179,42,53,23,50
951.263,38,50,19,47
952.347,38,50,19,47
953.431,37,49,18,45
954.515,28,42,9,35
955.599,35,49,16,42
956.683,37,49,18,45
957.767,37,49,18,45
958.851,39,50,18,51
959.935,39,50,18,51
961.019,38,49,17,50
962.103,39,50,18,51
963.187,40,50,18,53
964.271,38,48,16,50
965.355,38,48,15,52
966.439,36,45,13,50
967.523,38,48,15,52
968.607,39,49,16,54
969.691,40,50,18,53
970.775,42,52,20,55
971.858,42,51,22,53
972.942,45,54,25,56
974.026,42,51,22,53
975.110,43,52,23,54
976.194,42,51,21,55
977.278,42,51,21,55
978.362,42,51,21,55
979.446,40,48,19,53
980.530,40,47,20,53
981.614,40,47,20,53
982.698,40,47,20,53
983.782,40,47,20,53
984.866,41,46,24,55
985.950,39,43,21,53
987.034,39,42,19,56
988.118,40,43,21,57
989.202,40,41,19,60
990.286,36,37,16,56
991.370,40,40,21,61
992.454,43,43,24,63
993.538,43,44,26,60
994.622,42,43,24,59
995.706,39,42,22,55
996.790,38,41,21,54
997.874,38,42,20,52
998.958,41,46,24,55
1000.04,39,47,20,51
1001.12,44,52,26,56
1002.21,48,58,27,59
1003.29,51,61,30,62
1004.37,51,63,29,62
1005.46,48,60,26,59
1006.54,44,53,21,58
1007.62,41,50,18,55
1008.71,41,48,18,57
1009.79,41,48,18,57
1010.88,41,45,19,59
1011.96,41,45,19,59
1013.04,42,46,23,59
1014.13,35,39,16,52
1015.21,32,36,14,48
1016.30,38,42,20,54
1017.38,40,43,21,57
1018.46,40,43,21,57
1019.55,40,41,19,60
